0x2030: "‰"
0xf111: ""
0xf112: ""
0xf113: ""
0xf114: ""
0xf115: ""
0xf116: ""
0xf117: ""
0xf118: ""
0xf119: ""
0xf11a: ""
0xf11b: ""
0xf11c: ""
0xf11d: ""
0xf11e: ""
0xf120: ""
0xf121: ""
0xf122: ""
0xf123: ""
0xf124: ""
0xf125: ""
0xf126: ""
0xf127: ""
0xf128: ""
0xf129: ""
0xf12a: ""
0xf12b: ""
0xf12c: ""
0xf12d: ""
0xf12e: ""
0xf130: ""
0xf131: ""
0xf132: ""
0xf133: ""
0xf134: ""
0xf135: ""
0xf136: ""
0xf137: ""
0xf138: ""
0xf139: ""
0xf13a: ""
0xf13b: ""
0xf13c: ""
0xf13d: ""
0xf13e: ""
0xf140: ""
0xf141: ""
0xf142: ""
0xf143: ""
0xf144: ""
0xf145: ""
0xf146: ""
0xf147: ""
0xf148: ""
0xf149: ""
0xf14a: ""
0xf14b: ""
0xf14c: ""
0xf14d: ""
0xf14e: ""
0xf150: ""
0xf151: ""
0xf152: ""
0xf153: ""
0xf154: ""
0xf155: ""
0xf156: ""
0xf157: ""
0xf158: ""
0xf159: ""
0xf15a: ""
0xf15b: ""
0xf15c: ""
0xf15d: ""
0xf15e: ""
0xf160: ""
0xf161: ""
0xf162: ""
0xf163: ""
0xf164: ""
0xf165: ""
0xf166: ""
0xf167: ""
0xf168: ""
0xf169: ""
0xf16a: ""
0xf16b: ""
0xf16c: ""
0xf16d: ""
0xf16e: ""
0xf170: ""
0xf171: ""
0xf172: ""
0xf173: ""
0xf174: ""
0xf175: ""
0xf176: ""
0xf177: ""
0xf178: ""
0xf179: ""
0xf17a: ""
0xf17b: ""
0xf17c: ""
0xf17d: ""
0xf17e: ""
0xf180: ""
0xf181: ""
0xf182: ""
0xf183: ""
0xf184: ""
0xf185: ""
0xf186: ""
0xf187: ""
0xf188: ""
0xf189: ""
0xf18a: ""
0xf18b: ""
0xf18c: ""
0xf18d: ""
0xf18e: ""
0xf190: ""
0xf191: ""
0xf192: ""
0xf193: ""
0xf194: ""
0xf195: ""
0xf196: ""
0xf197: ""
0xf198: ""
0xf199: ""
0xf19a: ""
0xf19b: ""
0xf19c: ""
0xf19d: ""
0xf19e: ""
0xf1a0: ""
0xf1a1: ""
0xf1a2: ""
0xf1a3: ""
0xf1a4: ""
0xf1a5: ""
0xf1a6: ""
0xf1a7: ""
0xf1a8: ""
0xf1a9: ""
0xf1aa: ""
0xf1ab: ""
0xf1ac: ""
0xf1ad: ""
0xf1ae: ""
0xf1b0: ""
0xf1b1: ""
0xf1b2: ""
0xf1b3: ""
0xf1b4: ""
0xf1b5: ""
0xf1b6: ""
0xf1b7: ""
0xf1b8: ""
0xf1b9: ""
0xf1ba: ""
0xf1bb: ""
0xf1bc: ""
0xf1bd: ""
0xf1be: ""
0xf1c0: ""
0xf1c1: ""
0xf1c2: ""
0xf1c3: ""
0xf1c4: ""
0xf1c5: ""
0xf1c6: ""
0xf1c7: ""
0xf1c8: ""
0xf1c9: ""
0xf1ca: ""
0xf1cb: ""
0xf1cc: ""
0xf1cd: ""
0xf1ce: ""
0xf1d0: ""
0xf1d1: ""
0xf1d2: ""
0xf1d3: ""
0xf1d4: ""
0xf1d5: ""
0xf1d6: ""
0xf1d7: ""
0xf1d8: ""
0xf1d9: ""
0xf1da: ""
0xf1db: ""
0xf1dc: ""
0xf1dd: ""
0xf1de: ""
0xf1e0: ""
0xf1e1: ""
0xf1e2: ""
0xf1e3: ""
0xf1e4: ""
0xf1e5: ""
0xf1e6: ""
0xf1e7: ""
0xf1e8: ""
0xf1e9: ""
0xf1ea: ""
0xf1eb: ""
0xf1ec: ""
0xf1ed: ""
0xf1ee: ""
0xf1f0: ""
0xf1f1: ""
0xf1f2: ""
0xf1f3: ""
0xf1f4: ""
0xf1f5: ""
0xf1f6: ""
0xf1f7: ""
0xf1f8: ""
0xf1f9: ""
0xf1fa: ""
0xf1fb: ""
0xf1fc: ""
0xf1fd: ""
0xf1fe: ""
0xf200: ""
0xf201: ""
0xf202: ""
0xf203: ""
0xf204: ""
0xf205: ""
0xf206: ""
0xf207: ""
0xf208: ""
0xf209: ""
0xf20a: ""
0xf20b: ""
0xf20c: ""
0xf20d: ""
0xf20e: ""
0xf210: ""
0xf211: ""
0xf212: ""
0xf213: ""
0xf214: ""
0xf215: ""
0xf216: ""
0xf217: ""
0xf218: ""
0xf219: ""
0xf21a: ""
0xf21b: ""
0xf21c: ""
0xf21d: ""
0xf21e: ""
0xf221: ""
0xf222: ""
0xf223: ""
0xf224: ""
0xf225: ""
0xf226: ""
0xf227: ""
0xf228: ""
0xf229: ""
0xf22a: ""
0xf22b: ""
0xf22c: ""
0xf22d: ""
0xf22e: ""
0xf22f: ""
0xf230: ""
0xf231: ""
0xf232: ""
0xf233: ""
0xf234: ""
0xf235: ""
0xf236: ""
0xf237: ""
0xf238: ""
0xf239: ""
0xf23a: ""
0xf23b: ""
0xf23c: ""
0xf23d: ""
0xf23e: ""
0xf240: ""
0xf241: ""
0xf242: ""
0xf243: ""
0xf244: ""
0xf245: ""
0xf246: ""
0xf247: ""
0xf248: ""
0xf249: ""
0xf24a: ""
0xf24b: ""
0xf24c: ""
0xf24d: ""
0xf24e: ""
0xf250: ""
0xf251: ""
0xf252: ""
0xf253: ""
0xf254: ""
0xf255: ""
0xf256: ""
0xf257: ""
0xf258: ""
0xf259: ""
0xf25a: ""
0xf25b: ""
0xf25c: ""
0xf25d: ""
0xf25e: ""
0xf260: ""
0xf261: ""
0xf262: ""
0xf263: ""
0xf264: ""
0xf265: ""
0xf266: ""
0xf267: ""
0xf268: ""
0xf269: ""
0xf26a: ""
0xf26b: ""
0xf26c: ""
0xf26d: ""
0xf26e: ""
0xf270: ""
0xf271: ""
0xf272: ""
0xf273: ""
0xf274: ""
0xf275: ""
0xf276: ""
0xf277: ""
0xf278: ""
0xf279: ""
0xf27a: ""
0xf27b: ""
0xf27c: ""
0xf27d: ""
0xf27e: ""
0xf280: ""
0xf281: ""
0xf282: ""
0xf283: ""
0xf284: ""
0xf285: ""
0xf286: ""
0xf287: ""
0xf288: ""
0xf289: ""
0xf28a: ""
0xf28b: ""
0xf28c: ""
0xf28d: ""
0xf28e: ""
0xf290: ""
0xf291: ""
0xf292: ""
0xf293: ""
0xf294: ""
0xf295: ""
0xf296: ""
0xf297: ""
0xf298: ""
0xf299: ""
0xf29a: ""
0xf29b: ""
0xf29c: ""
0xf29d: ""
0xf29e: ""
0xf2a0: ""
0xf2a1: ""
0xf2a2: ""
0xf2a3: ""
0xf2a4: ""
0xf2a5: ""
0xf2a6: ""
0xf2a7: ""
0xf2a8: ""
0xf2a9: ""
0xf2aa: ""
0xf2ab: ""
0xf2ac: ""
0xf2ad: ""
0xf2ae: ""
0xf2b0: ""
0xf2b1: ""
0xf2b2: ""
0xf2b3: ""
0xf2b4: ""
0xf2b5: ""
0xf2b6: ""
0xf2b7: ""
0xf2b8: ""
0xf2b9: ""
0xf2ba: ""
0xf2bb: ""
0xf2bc: ""
0xf2bd: ""
0xf2be: ""
0xf2c0: ""
0xf2c1: ""
0xf2c2: ""
0xf2c3: ""
0xf2c4: ""
0xf2c5: ""
0xf2c6: ""
0xf2c7: ""
0xf2c8: ""
0xf2c9: ""
0xf2ca: ""
0xf2cb: ""
0xf2cc: ""
0xf2cd: ""
0xf2ce: ""
0xf2d0: ""
0xf2d1: ""
0xf2d2: ""
0xf2d3: ""
0xf2d4: ""
0xf2d5: ""
0xf2d6: ""
0xf2d7: ""
0xf2d8: ""
0xf2d9: ""
0xf2da: ""
0xf2db: ""
0xf2dc: ""
0xf2dd: ""
0xf2de: ""
0xf2e0: ""
0xf3000: "󳀀"
0xf3001: "󳀁"
0xf3002: "󳀂"
0xf300: ""
0xf301: ""
0xf302: ""
0xf303: ""
0xf304: ""
0xf305: ""
0xf306: ""
0xf307: ""
0xf308: ""
0xf309: ""
0xf30a: ""
0xf30b: ""
0xf30c: ""
0xf30d: ""
0xf30e: ""
0xf30f: ""
0xf3100: "󳄀"
0xf3101: "󳄁"
0xf3102: "󳄂"
0xf310: ""
0xf311: ""
0xf312: ""
0xf313: ""
0xf315: ""
0xf316: ""
0xf31b: ""
0xf31c: ""
0xf400: ""
0xf401: ""
0xf402: ""
0xf403: ""
0xf404: ""
0xf405: ""
0xf406: ""
0xf407: ""
0xf408: ""
0xf409: ""
0xf40a: ""
0xf40b: ""
0xf40c: ""
0xf40d: ""
0xf40e: ""
0xf40f: ""
0xf410: ""
0xf411: ""
0xf412: ""
0xf413: ""
0xf414: ""
0xf415: ""
0xf416: ""
0xf417: ""
0xf418: ""
0xf419: ""
0xf41a: ""
0xf41b: ""
0xf41c: ""
0xf41d: ""
0xf41e: ""
0xf41f: ""
0xf420: ""
0xf421: ""
0xf422: ""
0xf423: ""
0xf424: ""
0xf425: ""
0xf426: ""
0xf427: ""
0xf428: ""
0xf429: ""
0xf42a: ""
0xf42b: ""
0xf42c: ""
0xf42d: ""
0xf42e: ""
0xf42f: ""
0xf430: ""
0xf431: ""
0xf432: ""
0xf433: ""
0xf434: ""
0xf435: ""
0xf436: ""
0xf437: ""
0xf438: ""
0xf439: ""
0xf43a: ""
0xf43b: ""
0xf43c: ""
0xf43d: ""
0xf43e: ""
0xf43f: ""
0xf440: ""
0xf441: ""
0xf442: ""
0xf443: ""
0xf444: ""
0xf445: ""
0xf446: ""
0xf447: ""
0xf448: ""
0xf449: ""
0xf44a: ""
0xf44b: ""
0xf44c: ""
0xf44d: ""
0xf44e: ""
0xf44f: ""
0xf450: ""
0xf451: ""
0xf452: ""
0xf453: ""
0xf454: ""
0xf455: ""
0xf456: ""
0xf457: ""
0xf458: ""
0xf459: ""
0xf45a: ""
0xf45b: ""
0xf45c: ""
0xf45d: ""
0xf45e: ""
0xf45f: ""
0xf460: ""
0xf461: ""
0xf462: ""
0xf463: ""
0xf464: ""
0xf465: ""
0xf466: ""
0xf467: ""
0xf468: ""
0xf469: ""
0xf46a: ""
0xf46b: ""
0xf46c: ""
0xf46d: ""
0xf46e: ""
0xf46f: ""
0xf470: ""
0xf471: ""
0xf472: ""
0xf473: ""
0xf474: ""
0xf475: ""
0xf476: ""
0xf477: ""
0xf478: ""
0xf479: ""
0xf47a: ""
0xf47b: ""
0xf47c: ""
0xf47d: ""
0xf47e: ""
0xf47f: ""
0xf480: ""
0xf481: ""
0xf482: ""
0xf483: ""
0xf484: ""
0xf485: ""
0xf486: ""
0xf487: ""
0xf488: ""
0xf489: ""
0xf48a: ""
0xf48b: ""
0xf48c: ""
0xf48d: ""
0xf48e: ""
0xf48f: ""
0xf490: ""
0xf491: ""
0xf492: ""
0xf493: ""
0xf494: ""
0xf495: ""
0xf496: ""
0xf497: ""
0xf498: ""
0xf499: ""
0xf49a: ""
0xf49b: ""
0xf49c: ""
0xf49d: ""
0xf49e: ""
0xf49f: ""
0xf4a0: ""
0xf4a1: ""
0xf4a2: ""
0xf4a3: ""
0xf4a4: ""
0xf4a5: ""
0xf4a6: ""
0xf4a7: ""
0xf4a8: ""
0xfe0b0: "󾂰"
0xfe0b1: "󾂱"
0xfe0b2: "󾂲"
0xfe0b3: "󾂳"
0xfe0b4: "󾂴"
0xfe0b5: "󾂵"
0xfe566: "󾕦"
0xfe567: "󾕧"
0xfe568: "󾕨"
0xff500: "󿔀"
0xff501: "󿔁"
0xff502: "󿔂"
0xff503: "󿔃"
0xff504: "󿔄"
0xff505: "󿔅"
0xff506: "󿔆"
0xff507: "󿔇"
0xff508: "󿔈"
0xff509: "󿔉"
0xff50a: "󿔊"
0xff50b: "󿔋"
0xff50c: "󿔌"
0xff50d: "󿔍"
0xff50e: "󿔎"
0xff50f: "󿔏"
0xff510: "󿔐"
0xff511: "󿔑"
0xff512: "󿔒"
0xff513: "󿔓"
0xff514: "󿔔"
0xff515: "󿔕"
0xff516: "󿔖"
0xff517: "󿔗"
0xff518: "󿔘"
0xff519: "󿔙"
0xff51a: "󿔚"
0xff51b: "󿔛"
0xff51c: "󿔜"
0xff51d: "󿔝"
0xff51e: "󿔞"
0xff51f: "󿔟"
0xff520: "󿔠"
0xff521: "󿔡"
0xff522: "󿔢"
0xff523: "󿔣"
0xff524: "󿔤"
0xff525: "󿔥"
0xff526: "󿔦"
0xff527: "󿔧"
0xff528: "󿔨"
0xff529: "󿔩"
0xff52a: "󿔪"
0xff52b: "󿔫"
0xff52c: "󿔬"
0xff52d: "󿔭"
0xff52e: "󿔮"
0xff52f: "󿔯"
0xff530: "󿔰"
0xff531: "󿔱"
0xff532: "󿔲"
0xff533: "󿔳"
0xff534: "󿔴"
0xff535: "󿔵"
0xff536: "󿔶"
0xff537: "󿔷"
0xff538: "󿔸"
0xff539: "󿔹"
0xff53a: "󿔺"
0xff53b: "󿔻"
0xff53c: "󿔼"
0xff53d: "󿔽"
0xff53e: "󿔾"
0xff53f: "󿔿"
0xff540: "󿕀"
0xff541: "󿕁"
0xff542: "󿕂"
0xff543: "󿕃"
0xff544: "󿕄"
0xff545: "󿕅"
0xff546: "󿕆"
0xff547: "󿕇"
0xff548: "󿕈"
0xff549: "󿕉"
0xff54a: "󿕊"
0xff54b: "󿕋"
0xff54c: "󿕌"
0xff54d: "󿕍"
0xff54e: "󿕎"
0xff54f: "󿕏"
0xff550: "󿕐"
0xff551: "󿕑"
0xff552: "󿕒"
0xff553: "󿕓"
0xff554: "󿕔"
0xff555: "󿕕"
0xff556: "󿕖"
0xff557: "󿕗"
0xff558: "󿕘"
0xff559: "󿕙"
0xff55a: "󿕚"
0xff55b: "󿕛"
0xff55c: "󿕜"
0xff55d: "󿕝"
0xff55e: "󿕞"
0xff55f: "󿕟"
0xff560: "󿕠"
0xff561: "󿕡"
0xff562: "󿕢"
0xff563: "󿕣"
0xff564: "󿕤"
0xff565: "󿕥"
0xff566: "󿕦"
0xff567: "󿕧"
0xff568: "󿕨"
0xff569: "󿕩"
0xff56a: "󿕪"
0xff56b: "󿕫"
0xff56c: "󿕬"
0xff56d: "󿕭"
0xff56e: "󿕮"
0xff56f: "󿕯"
0xff570: "󿕰"
0xff571: "󿕱"
0xff572: "󿕲"
0xff573: "󿕳"
0xff574: "󿕴"
0xff575: "󿕵"
0xff576: "󿕶"
0xff577: "󿕷"
0xff578: "󿕸"
0xff579: "󿕹"
0xff57a: "󿕺"
0xff57b: "󿕻"
0xff57c: "󿕼"
0xff57d: "󿕽"
0xff57e: "󿕾"
0xff57f: "󿕿"
0xff580: "󿖀"
0xff581: "󿖁"
0xff582: "󿖂"
0xff583: "󿖃"
0xff584: "󿖄"
0xff585: "󿖅"
0xff586: "󿖆"
0xff587: "󿖇"
0xff588: "󿖈"
0xff589: "󿖉"
0xff58a: "󿖊"
0xff58b: "󿖋"
0xff58c: "󿖌"
0xff58d: "󿖍"
0xff58e: "󿖎"
0xff58f: "󿖏"
0xff590: "󿖐"
0xff591: "󿖑"
0xff592: "󿖒"
0xff593: "󿖓"
0xff594: "󿖔"
0xff595: "󿖕"
0xff596: "󿖖"
0xff597: "󿖗"
0xff598: "󿖘"
0xff599: "󿖙"
0xff59a: "󿖚"
0xff59b: "󿖛"
0xff59c: "󿖜"
0xff59d: "󿖝"
0xff59e: "󿖞"
0xff59f: "󿖟"
0xff5a0: "󿖠"
0xff5a1: "󿖡"
0xff5a2: "󿖢"
0xff5a3: "󿖣"
0xff5a4: "󿖤"
0xff5a5: "󿖥"
0xff5a6: "󿖦"
0xff5a7: "󿖧"
0xff5a8: "󿖨"
0xff5a9: "󿖩"
0xff5aa: "󿖪"
0xff5ab: "󿖫"
0xff5ac: "󿖬"
0xff5ad: "󿖭"
0xff5ae: "󿖮"
0xff5af: "󿖯"
0xff5b0: "󿖰"
0xff5b1: "󿖱"
0xff5b2: "󿖲"
0xff5b3: "󿖳"
0xff5b4: "󿖴"
0xff5b5: "󿖵"
0xff5b6: "󿖶"
0xff5b7: "󿖷"
0xff5b8: "󿖸"
0xff5b9: "󿖹"
0xff5ba: "󿖺"
0xff5bb: "󿖻"
0xff5bc: "󿖼"
0xff5bd: "󿖽"
0xff5be: "󿖾"
0xff5bf: "󿖿"
0xff5c0: "󿗀"
0xff5c1: "󿗁"
0xff5c2: "󿗂"
0xff5c3: "󿗃"
0xff5c4: "󿗄"
0xff5c5: "󿗅"
0xff5c6: "󿗆"
0xff5c7: "󿗇"
0xff5c8: "󿗈"
0xff5c9: "󿗉"
0xff5ca: "󿗊"
0xff5cb: "󿗋"
0xff5cc: "󿗌"
0xff5cd: "󿗍"
0xff5ce: "󿗎"
0xff5cf: "󿗏"
0xff5d0: "󿗐"
0xff5d1: "󿗑"
0xff5d2: "󿗒"
0xff5d3: "󿗓"
0xff5d4: "󿗔"
0xff5d5: "󿗕"
0xff5d6: "󿗖"
0xff5d7: "󿗗"
0xff5d8: "󿗘"
0xff5d9: "󿗙"
0xff5da: "󿗚"
0xff5db: "󿗛"
0xff5dc: "󿗜"
0xff5dd: "󿗝"
0xff5de: "󿗞"
0xff5df: "󿗟"
0xff5e0: "󿗠"
0xff5e1: "󿗡"
0xff5e2: "󿗢"
0xff5e3: "󿗣"
0xff5e4: "󿗤"
0xff5e5: "󿗥"
0xff5e6: "󿗦"
0xff5e7: "󿗧"
0xff5e8: "󿗨"
0xff5e9: "󿗩"
0xff5ea: "󿗪"
0xff5eb: "󿗫"
0xff5ec: "󿗬"
0xff5ed: "󿗭"
0xff5ee: "󿗮"
0xff5ef: "󿗯"
0xff5f0: "󿗰"
0xff5f1: "󿗱"
0xff5f2: "󿗲"
0xff5f3: "󿗳"
0xff5f4: "󿗴"
0xff5f5: "󿗵"
0xff5f6: "󿗶"
0xff5f7: "󿗷"
0xff5f8: "󿗸"
0xff5f9: "󿗹"
0xff5fa: "󿗺"
0xff5fb: "󿗻"
0xff5fc: "󿗼"
0xff5fd: "󿗽"
0xff5fe: "󿗾"
0xff5ff: "󿗿"
0xff600: "󿘀"
0xff601: "󿘁"
0xff602: "󿘂"
0xff603: "󿘃"
0xff604: "󿘄"
0xff605: "󿘅"
0xff606: "󿘆"
0xff607: "󿘇"
0xff608: "󿘈"
0xff609: "󿘉"
0xff60a: "󿘊"
0xff60b: "󿘋"
0xff60c: "󿘌"
0xff60d: "󿘍"
0xff60e: "󿘎"
0xff60f: "󿘏"
0xff610: "󿘐"
0xff611: "󿘑"
0xff612: "󿘒"
0xff613: "󿘓"
0xff614: "󿘔"
0xff615: "󿘕"
0xff616: "󿘖"
0xff617: "󿘗"
0xff618: "󿘘"
0xff619: "󿘙"
0xff61a: "󿘚"
0xff61b: "󿘛"
0xff61c: "󿘜"
0xff61d: "󿘝"
0xff61e: "󿘞"
0xff61f: "󿘟"
0xff620: "󿘠"
0xff621: "󿘡"
0xff622: "󿘢"
0xff623: "󿘣"
0xff624: "󿘤"
0xff625: "󿘥"
0xff626: "󿘦"
0xff627: "󿘧"
0xff628: "󿘨"
0xff629: "󿘩"
0xff62a: "󿘪"
0xff62b: "󿘫"
0xff62c: "󿘬"
0xff62d: "󿘭"
0xff62e: "󿘮"
0xff62f: "󿘯"
0xff630: "󿘰"
0xff631: "󿘱"
0xff632: "󿘲"
0xff633: "󿘳"
0xff634: "󿘴"
0xff635: "󿘵"
0xff636: "󿘶"
0xff637: "󿘷"
0xff638: "󿘸"
0xff639: "󿘹"
0xff63a: "󿘺"
0xff63b: "󿘻"
0xff63c: "󿘼"
0xff63d: "󿘽"
0xff63e: "󿘾"
0xff63f: "󿘿"
0xff640: "󿙀"
0xff641: "󿙁"
0xff642: "󿙂"
0xff643: "󿙃"
0xff644: "󿙄"
0xff645: "󿙅"
0xff646: "󿙆"
0xff647: "󿙇"
0xff648: "󿙈"
0xff649: "󿙉"
0xff64a: "󿙊"
0xff64b: "󿙋"
0xff64c: "󿙌"
0xff64d: "󿙍"
0xff64e: "󿙎"
0xff64f: "󿙏"
0xff650: "󿙐"
0xff651: "󿙑"
0xff652: "󿙒"
0xff653: "󿙓"
0xff654: "󿙔"
0xff655: "󿙕"
0xff656: "󿙖"
0xff657: "󿙗"
0xff658: "󿙘"
0xff659: "󿙙"
0xff65a: "󿙚"
0xff65b: "󿙛"
0xff65c: "󿙜"
0xff65d: "󿙝"
0xff65e: "󿙞"
0xff65f: "󿙟"
0xff660: "󿙠"
0xff661: "󿙡"
0xff662: "󿙢"
0xff663: "󿙣"
0xff664: "󿙤"
0xff665: "󿙥"
0xff666: "󿙦"
0xff667: "󿙧"
0xff668: "󿙨"
0xff669: "󿙩"
0xff66a: "󿙪"
0xff66b: "󿙫"
0xff66c: "󿙬"
0xff66d: "󿙭"
0xff66e: "󿙮"
0xff66f: "󿙯"
0xff670: "󿙰"
0xff671: "󿙱"
0xff672: "󿙲"
0xff673: "󿙳"
0xff674: "󿙴"
0xff675: "󿙵"
0xff676: "󿙶"
0xff677: "󿙷"
0xff678: "󿙸"
0xff679: "󿙹"
0xff67a: "󿙺"
0xff67b: "󿙻"
0xff67c: "󿙼"
0xff67d: "󿙽"
0xff67e: "󿙾"
0xff67f: "󿙿"
0xff680: "󿚀"
0xff681: "󿚁"
0xff682: "󿚂"
0xff683: "󿚃"
0xff684: "󿚄"
0xff685: "󿚅"
0xff686: "󿚆"
0xff687: "󿚇"
0xff688: "󿚈"
0xff689: "󿚉"
0xff68a: "󿚊"
0xff68b: "󿚋"
0xff68c: "󿚌"
0xff68d: "󿚍"
0xff68e: "󿚎"
0xff68f: "󿚏"
0xff690: "󿚐"
0xff691: "󿚑"
0xff692: "󿚒"
0xff693: "󿚓"
0xff694: "󿚔"
0xff695: "󿚕"
0xff696: "󿚖"
0xff697: "󿚗"
0xff698: "󿚘"
0xff699: "󿚙"
0xff69a: "󿚚"
0xff69b: "󿚛"
0xff69c: "󿚜"
0xff69d: "󿚝"
0xff69e: "󿚞"
0xff69f: "󿚟"
0xff6a0: "󿚠"
0xff6a1: "󿚡"
0xff6a2: "󿚢"
0xff6a3: "󿚣"
0xff6a4: "󿚤"
0xff6a5: "󿚥"
0xff6a6: "󿚦"
0xff6a7: "󿚧"
0xff6a8: "󿚨"
0xff6a9: "󿚩"
0xff6aa: "󿚪"
0xff6ab: "󿚫"
0xff6ac: "󿚬"
0xff6ad: "󿚭"
0xff6ae: "󿚮"
0xff6af: "󿚯"
0xff6b0: "󿚰"
0xff6b1: "󿚱"
0xff6b2: "󿚲"
0xff6b3: "󿚳"
0xff6b4: "󿚴"
0xff6b5: "󿚵"
0xff6b6: "󿚶"
0xff6b7: "󿚷"
0xff6b8: "󿚸"
0xff6b9: "󿚹"
0xff6ba: "󿚺"
0xff6bb: "󿚻"
0xff6bc: "󿚼"
0xff6bd: "󿚽"
0xff6be: "󿚾"
0xff6bf: "󿚿"
0xff6c0: "󿛀"
0xff6c1: "󿛁"
0xff6c2: "󿛂"
0xff6c3: "󿛃"
0xff6c4: "󿛄"
0xff6c5: "󿛅"
0xff6c6: "󿛆"
0xff6c7: "󿛇"
0xff6c8: "󿛈"
0xff6c9: "󿛉"
0xff6ca: "󿛊"
0xff6cb: "󿛋"
0xff6cc: "󿛌"
0xff6cd: "󿛍"
0xff6ce: "󿛎"
0xff6cf: "󿛏"
0xff6d0: "󿛐"
0xff6d1: "󿛑"
0xff6d2: "󿛒"
0xff6d3: "󿛓"
0xff6d4: "󿛔"
0xff6d5: "󿛕"
0xff6d6: "󿛖"
0xff6d7: "󿛗"
0xff6d8: "󿛘"
0xff6d9: "󿛙"
0xff6da: "󿛚"
0xff6db: "󿛛"
0xff6dc: "󿛜"
0xff6dd: "󿛝"
0xff6de: "󿛞"
0xff6df: "󿛟"
0xff6e0: "󿛠"
0xff6e1: "󿛡"
0xff6e2: "󿛢"
0xff6e3: "󿛣"
0xff6e4: "󿛤"
0xff6e5: "󿛥"
0xff6e6: "󿛦"
0xff6e7: "󿛧"
0xff6e8: "󿛨"
0xff6e9: "󿛩"
0xff6ea: "󿛪"
0xff6eb: "󿛫"
0xff6ec: "󿛬"
0xff6ed: "󿛭"
0xff6ee: "󿛮"
0xff6ef: "󿛯"
0xff6f0: "󿛰"
0xff6f1: "󿛱"
0xff6f2: "󿛲"
0xff6f3: "󿛳"
0xff6f4: "󿛴"
0xff6f5: "󿛵"
0xff6f6: "󿛶"
0xff6f7: "󿛷"
0xff6f8: "󿛸"
0xff6f9: "󿛹"
0xff6fa: "󿛺"
0xff6fb: "󿛻"
0xff6fc: "󿛼"
0xff6fd: "󿛽"
0xff6fe: "󿛾"
0xff6ff: "󿛿"
0xff700: "󿜀"
0xff701: "󿜁"
0xff702: "󿜂"
0xff703: "󿜃"
0xff704: "󿜄"
0xff705: "󿜅"
0xff706: "󿜆"
0xff707: "󿜇"
0xff708: "󿜈"
0xff709: "󿜉"
0xff70a: "󿜊"
0xff70b: "󿜋"
0xff70c: "󿜌"
0xff70d: "󿜍"
0xff70e: "󿜎"
0xff70f: "󿜏"
0xff710: "󿜐"
0xff711: "󿜑"
0xff712: "󿜒"
0xff713: "󿜓"
0xff714: "󿜔"
0xff715: "󿜕"
0xff716: "󿜖"
0xff717: "󿜗"
0xff718: "󿜘"
0xff719: "󿜙"
0xff71a: "󿜚"
0xff71b: "󿜛"
0xff71c: "󿜜"
0xff71d: "󿜝"
0xff71e: "󿜞"
0xff71f: "󿜟"
0xff720: "󿜠"
0xff721: "󿜡"
0xff722: "󿜢"
0xff723: "󿜣"
0xff724: "󿜤"
0xff725: "󿜥"
0xff726: "󿜦"
0xff727: "󿜧"
0xff728: "󿜨"
0xff729: "󿜩"
0xff72a: "󿜪"
0xff72b: "󿜫"
0xff72c: "󿜬"
0xff72d: "󿜭"
0xff72e: "󿜮"
0xff72f: "󿜯"
0xff730: "󿜰"
0xff731: "󿜱"
0xff732: "󿜲"
0xff733: "󿜳"
0xff734: "󿜴"
0xff735: "󿜵"
0xff736: "󿜶"
0xff737: "󿜷"
0xff738: "󿜸"
0xff739: "󿜹"
0xff73a: "󿜺"
0xff73b: "󿜻"
0xff73c: "󿜼"
0xff73d: "󿜽"
0xff73e: "󿜾"
0xff73f: "󿜿"
0xff740: "󿝀"
0xff741: "󿝁"
0xff742: "󿝂"
0xff743: "󿝃"
0xff744: "󿝄"
0xff745: "󿝅"
0xff746: "󿝆"
0xff747: "󿝇"
0xff748: "󿝈"
0xff749: "󿝉"
0xff74a: "󿝊"
0xff74b: "󿝋"
0xff74c: "󿝌"
0xff74d: "󿝍"
0xff74e: "󿝎"
0xff74f: "󿝏"
0xff750: "󿝐"
0xff751: "󿝑"
0xff752: "󿝒"
0xff753: "󿝓"
0xff754: "󿝔"
0xff755: "󿝕"
0xff756: "󿝖"
0xff757: "󿝗"
0xff758: "󿝘"
0xff759: "󿝙"
0xff75a: "󿝚"
0xff75b: "󿝛"
0xff75c: "󿝜"
0xff75d: "󿝝"
0xff75e: "󿝞"
0xff75f: "󿝟"
0xff760: "󿝠"
0xff761: "󿝡"
0xff762: "󿝢"
0xff763: "󿝣"
0xff764: "󿝤"
0xff765: "󿝥"
0xff766: "󿝦"
0xff767: "󿝧"
0xff768: "󿝨"
0xff769: "󿝩"
0xff76a: "󿝪"
0xff76b: "󿝫"
0xff76c: "󿝬"
0xff76d: "󿝭"
0xff76e: "󿝮"
0xff76f: "󿝯"
0xff770: "󿝰"
0xff771: "󿝱"
0xff772: "󿝲"
0xff773: "󿝳"
0xff774: "󿝴"
0xff775: "󿝵"
0xff776: "󿝶"
0xff777: "󿝷"
0xff778: "󿝸"
0xff779: "󿝹"
0xff77a: "󿝺"
0xff77b: "󿝻"
0xff77c: "󿝼"
0xff77d: "󿝽"
0xff77e: "󿝾"
0xff77f: "󿝿"
0xff780: "󿞀"
0xff781: "󿞁"
0xff782: "󿞂"
0xff783: "󿞃"
0xff784: "󿞄"
